Year,Occupation Type,Occupation Sub-Type,Occupation Sub-Type2,Occupation,Gender,Numberofworkers,Medianweeklyearnings,Standarderrorofmedian
2016,"Management, professional, and related ",,,,Female,"23,674","$1,027",5
2016,"Management, professional, and related ","Management, business, and financial operations ",,,Female,"8,761","$1,099",11
2016,"Management, professional, and related ","Management, business, and financial operations ",Management,,Female,"5,314","$1,148",9
2016,"Management, professional, and related ","Management, business, and financial operations ",Management,Chief executives,Female,318,"$1,876",110
2016,"Management, professional, and related ","Management, business, and financial operations ",Management,General and operations managers,Female,250,"$1,037",78
2016,"Management, professional, and related ","Management, business, and financial operations ",Management,Legislators,Female,6,–,–
2016,"Management, professional, and related ","Management, business, and financial operations ",Management,Advertising and promotions managers,Female,32,–,–
2016,"Management, professional, and related ","Management, business, and financial operations ",Management,Marketing and sales managers,Female,403,"$1,142",49
2016,"Management, professional, and related ","Management, business, and financial operations ",Management,Public relations and fundraising managers,Female,38,–,–
2016,"Management, professional, and related ","Management, business, and financial operations ",Management,Administrative services managers,Female,71,$952,50
2016,"Management, professional, and related ","Management, business, and financial operations ",Management,Computer and information systems managers,Female,150,"$1,680",101
2016,"Management, professional, and related ","Management, business, and financial operations ",Management,Financial managers,Female,578,"$1,157",24
2016,"Management, professional, and related ","Management, business, and financial operations ",Management,Compensation and benefits managers,Female,12,–,–
2016,"Management, professional, and related ","Management, business, and financial operations ",Management,Human resources managers,Female,190,"$1,283",57
2016,"Management, professional, and related ","Management, business, and financial operations ",Management,Training and development managers,Female,31,–,–
2016,"Management, professional, and related ","Management, business, and financial operations ",Management,Industrial production managers,Female,66,"$1,219",138
2016,"Management, professional, and related ","Management, business, and financial operations ",Management,Purchasing managers,Female,92,"$1,169",39
2016,"Management, professional, and related ","Management, business, and financial operations ",Management,"Transportation, storage, and distribution managers",Female,51,$988,424
2016,"Management, professional, and related ","Management, business, and financial operations ",Management,"Farmers, ranchers, and other agricultural managers",Female,17,–,–
2016,"Management, professional, and related ","Management, business, and financial operations ",Management,Construction managers,Female,35,–,–
2016,"Management, professional, and related ","Management, business, and financial operations ",Management,Education administrators,Female,541,"$1,280",45
2016,"Management, professional, and related ","Management, business, and financial operations ",Management,Architectural and engineering managers,Female,9,–,–
2016,"Management, professional, and related ","Management, business, and financial operations ",Management,Food service managers,Female,350,$632,28
2016,"Management, professional, and related ","Management, business, and financial operations ",Management,Funeral service managers,Female,1,–,–
2016,"Management, professional, and related ","Management, business, and financial operations ",Management,Gaming managers,Female,4,–,–
2016,"Management, professional, and related ","Management, business, and financial operations ",Management,Lodging managers,Female,64,$764,59
2016,"Management, professional, and related ","Management, business, and financial operations ",Management,Medical and health services managers,Female,399,"$1,254",55
2016,"Management, professional, and related ","Management, business, and financial operations ",Management,Natural sciences managers,Female,8,–,–
2016,"Management, professional, and related ","Management, business, and financial operations ",Management,Postmasters and mail superintendents,Female,11,–,–
2016,"Management, professional, and related ","Management, business, and financial operations ",Management,"Property, real estate, and community association managers",Female,221,$815,35
2016,"Management, professional, and related ","Management, business, and financial operations ",Management,Social and community service managers,Female,248,$992,43
2016,"Management, professional, and related ","Management, business, and financial operations ",Management,Emergency management directors,Female,3,–,–
2016,"Management, professional, and related ","Management, business, and financial operations ",Management,"Managers, all other",Female,"1,115","$1,188",32
2016,"Management, professional, and related ","Management, business, and financial operations ",Business and financial operations,,Female,"3,448","$1,018",12
2016,"Management, professional, and related ","Management, business, and financial operations ",Business and financial operations,"Agents and business managers of artists, performers, and athletes",Female,12,–,–
2016,"Management, professional, and related ","Management, business, and financial operations ",Business and financial operations,"Buyers and purchasing agents, farm products",Female,0,–,–
2016,"Management, professional, and related ","Management, business, and financial operations ",Business and financial operations,"Wholesale and retail buyers, except farm products",Female,83,$765,29
2016,"Management, professional, and related ","Management, business, and financial operations ",Business and financial operations,"Purchasing agents, except wholesale, retail, and farm products",Female,125,$974,120
2016,"Management, professional, and related ","Management, business, and financial operations ",Business and financial operations,"Claims adjusters, appraisers, examiners, and investigators",Female,206,$912,21
2016,"Management, professional, and related ","Management, business, and financial operations ",Business and financial operations,Compliance officers,Female,146,"$1,163",55
2016,"Management, professional, and related ","Management, business, and financial operations ",Business and financial operations,Cost estimators,Female,9,–,–
2016,"Management, professional, and related ","Management, business, and financial operations ",Business and financial operations,Human resources workers,Female,465,"$1,089",41
2016,"Management, professional, and related ","Management, business, and financial operations ",Business and financial operations,"Compensation, benefits, and job analysis specialists",Female,51,"$1,001",44
2016,"Management, professional, and related ","Management, business, and financial operations ",Business and financial operations,Training and development specialists,Female,82,$959,74
2016,"Management, professional, and related ","Management, business, and financial operations ",Business and financial operations,Logisticians,Female,37,–,–
2016,"Management, professional, and related ","Management, business, and financial operations ",Business and financial operations,Management analysts,Female,253,"$1,342",40
2016,"Management, professional, and related ","Management, business, and financial operations ",Business and financial operations,"Meeting, convention, and event planners",Female,88,$852,39
2016,"Management, professional, and related ","Management, business, and financial operations ",Business and financial operations,Fundraisers,Female,42,–,–
2016,"Management, professional, and related ","Management, business, and financial operations ",Business and financial operations,Market research analysts and marketing specialists,Female,130,"$1,097",63
2016,"Management, professional, and related ","Management, business, and financial operations ",Business and financial operations,"Business operations specialists, all other",Female,146,"$1,001",29
2016,"Management, professional, and related ","Management, business, and financial operations ",Business and financial operations,Accountants and auditors,Female,892,"$1,018",20
2016,"Management, professional, and related ","Management, business, and financial operations ",Business and financial operations,Appraisers and assessors of real estate,Female,13,–,–
2016,"Management, professional, and related ","Management, business, and financial operations ",Business and financial operations,Budget analysts,Female,26,–,–
2016,"Management, professional, and related ","Management, business, and financial operations ",Business and financial operations,Credit analysts,Female,13,–,–
2016,"Management, professional, and related ","Management, business, and financial operations ",Business and financial operations,Financial analysts,Female,104,"$1,252",40
2016,"Management, professional, and related ","Management, business, and financial operations ",Business and financial operations,Personal financial advisors,Female,142,$953,45
2016,"Management, professional, and related ","Management, business, and financial operations ",Business and financial operations,Insurance underwriters,Female,68,$910,46
2016,"Management, professional, and related ","Management, business, and financial operations ",Business and financial operations,Financial examiners,Female,6,–,–
2016,"Management, professional, and related ","Management, business, and financial operations ",Business and financial operations,Credit counselors and loan officers,Female,200,$926,29
2016,"Management, professional, and related ","Management, business, and financial operations ",Business and financial operations,"Tax examiners and collectors, and revenue agents",Female,38,–,–
2016,"Management, professional, and related ","Management, business, and financial operations ",Business and financial operations,Tax preparers,Female,33,–,–
2016,"Management, professional, and related ","Management, business, and financial operations ",Business and financial operations,"Financial specialists, all other",Female,37,–,–
2016,"Management, professional, and related ",Professional and related,,,Female,"14,912",$998,5
2016,"Management, professional, and related ",Professional and related,Computer and mathematical ,,Female,"1,035","$1,325",23
2016,"Management, professional, and related ",Professional and related,Computer and mathematical ,Computer and information research scientists,Female,7,–,–
2016,"Management, professional, and related ",Professional and related,Computer and mathematical ,Computer systems analysts,Female,182,"$1,328",38
2016,"Management, professional, and related ",Professional and related,Computer and mathematical ,Information security analysts,Female,20,–,–
2016,"Management, professional, and related ",Professional and related,Computer and mathematical ,Computer programmers,Female,104,"$1,312",100
2016,"Management, professional, and related ",Professional and related,Computer and mathematical ,"Software developers, applications and systems software",Female,266,"$1,553",22
2016,"Management, professional, and related ",Professional and related,Computer and mathematical ,Web developers,Female,45,–,–
2016,"Management, professional, and related ",Professional and related,Computer and mathematical ,Computer support specialists,Female,124,"$1,014",95
2016,"Management, professional, and related ",Professional and related,Computer and mathematical ,Database administrators,Female,37,–,–
2016,"Management, professional, and related ",Professional and related,Computer and mathematical ,Network and computer systems administrators,Female,29,–,–
2016,"Management, professional, and related ",Professional and related,Computer and mathematical ,Computer network architects,Female,12,–,–
2016,"Management, professional, and related ",Professional and related,Computer and mathematical ,"Computer occupations, all other",Female,106,"$1,055",38
2016,"Management, professional, and related ",Professional and related,Computer and mathematical ,Actuaries,Female,1,–,–
2016,"Management, professional, and related ",Professional and related,Computer and mathematical ,Mathematicians,Female,0,–,–
2016,"Management, professional, and related ",Professional and related,Computer and mathematical ,Operations research analysts,Female,66,"$1,300",34
2016,"Management, professional, and related ",Professional and related,Computer and mathematical ,Statisticians,Female,35,–,–
2016,"Management, professional, and related ",Professional and related,Computer and mathematical ,Miscellaneous mathematical science occupations,Female,1,–,–
2016,"Management, professional, and related ",Professional and related,Architecture and engineering ,,Female,398,"$1,207",47
2016,"Management, professional, and related ",Professional and related,Architecture and engineering ,"Architects, except naval",Female,43,–,–
2016,"Management, professional, and related ",Professional and related,Architecture and engineering ,"Surveyors, cartographers, and photogrammetrists",Female,9,–,–
2016,"Management, professional, and related ",Professional and related,Architecture and engineering ,Aerospace engineers,Female,10,–,–
2016,"Management, professional, and related ",Professional and related,Architecture and engineering ,Agricultural engineers,Female,0,–,–
2016,"Management, professional, and related ",Professional and related,Architecture and engineering ,Biomedical engineers,Female,2,–,–
2016,"Management, professional, and related ",Professional and related,Architecture and engineering ,Chemical engineers,Female,18,–,–
2016,"Management, professional, and related ",Professional and related,Architecture and engineering ,Civil engineers,Female,39,–,–
2016,"Management, professional, and related ",Professional and related,Architecture and engineering ,Computer hardware engineers,Female,12,–,–
2016,"Management, professional, and related ",Professional and related,Architecture and engineering ,Electrical and electronics engineers,Female,26,–,–
2016,"Management, professional, and related ",Professional and related,Architecture and engineering ,Environmental engineers,Female,5,–,–
2016,"Management, professional, and related ",Professional and related,Architecture and engineering ,"Industrial engineers, including health and safety",Female,46,–,–
2016,"Management, professional, and related ",Professional and related,Architecture and engineering ,Marine engineers and naval architects,Female,1,–,–
2016,"Management, professional, and related ",Professional and related,Architecture and engineering ,Materials engineers,Female,5,–,–
2016,"Management, professional, and related ",Professional and related,Architecture and engineering ,Mechanical engineers,Female,24,–,–
2016,"Management, professional, and related ",Professional and related,Architecture and engineering ,"Mining and geological engineers, including mining safety engineers",Female,0,–,–
2016,"Management, professional, and related ",Professional and related,Architecture and engineering ,Nuclear engineers,Female,1,–,–
2016,"Management, professional, and related ",Professional and related,Architecture and engineering ,Petroleum engineers,Female,3,–,–
2016,"Management, professional, and related ",Professional and related,Architecture and engineering ,"Engineers, all other",Female,63,"$1,401",152
2016,"Management, professional, and related ",Professional and related,Architecture and engineering ,Drafters,Female,10,–,–
2016,"Management, professional, and related ",Professional and related,Architecture and engineering ,"Engineering technicians, except drafters",Female,75,$793,49
2016,"Management, professional, and related ",Professional and related,Architecture and engineering ,Surveying and mapping technicians,Female,5,–,–
2016,"Management, professional, and related ",Professional and related,"Life, physical, and social science ",,Female,486,"$1,119",42
2016,"Management, professional, and related ",Professional and related,"Life, physical, and social science ",Agricultural and food scientists,Female,12,–,–
2016,"Management, professional, and related ",Professional and related,"Life, physical, and social science ",Biological scientists,Female,35,–,–
2016,"Management, professional, and related ",Professional and related,"Life, physical, and social science ",Conservation scientists and foresters,Female,4,–,–
2016,"Management, professional, and related ",Professional and related,"Life, physical, and social science ",Medical scientists,Female,57,"$1,169",56
2016,"Management, professional, and related ",Professional and related,"Life, physical, and social science ","Life scientists, all other",Female,3,–,–
2016,"Management, professional, and related ",Professional and related,"Life, physical, and social science ",Astronomers and physicists,Female,4,–,–
2016,"Management, professional, and related ",Professional and related,"Life, physical, and social science ",Atmospheric and space scientists,Female,1,–,–
2016,"Management, professional, and related ",Professional and related,"Life, physical, and social science ",Chemists and materials scientists,Female,36,–,–
2016,"Management, professional, and related ",Professional and related,"Life, physical, and social science ",Environmental scientists and geoscientists,Female,21,–,–
2016,"Management, professional, and related ",Professional and related,"Life, physical, and social science ","Physical scientists, all other",Female,111,"$1,323",75
2016,"Management, professional, and related ",Professional and related,"Life, physical, and social science ",Economists,Female,9,–,–
2016,"Management, professional, and related ",Professional and related,"Life, physical, and social science ",Survey researchers,Female,0,–,–
2016,"Management, professional, and related ",Professional and related,"Life, physical, and social science ",Psychologists,Female,66,"$1,187",79
2016,"Management, professional, and related ",Professional and related,"Life, physical, and social science ",Sociologists,Female,3,–,–
2016,"Management, professional, and related ",Professional and related,"Life, physical, and social science ",Urban and regional planners,Female,13,–,–
2016,"Management, professional, and related ",Professional and related,"Life, physical, and social science ",Miscellaneous social scientists and related workers,Female,11,–,–
2016,"Management, professional, and related ",Professional and related,"Life, physical, and social science ",Agricultural and food science technicians,Female,6,–,–
2016,"Management, professional, and related ",Professional and related,"Life, physical, and social science ",Biological technicians,Female,8,–,–
2016,"Management, professional, and related ",Professional and related,"Life, physical, and social science ",Chemical technicians,Female,25,–,–
2016,"Management, professional, and related ",Professional and related,"Life, physical, and social science ",Geological and petroleum technicians,Female,2,–,–
2016,"Management, professional, and related ",Professional and related,"Life, physical, and social science ",Nuclear technicians,Female,1,–,–
2016,"Management, professional, and related ",Professional and related,"Life, physical, and social science ",Social science research assistants,Female,0,–,–
2016,"Management, professional, and related ",Professional and related,"Life, physical, and social science ","Miscellaneous life, physical, and social science technicians",Female,57,$826,73
2016,"Management, professional, and related ",Professional and related,Community and social service ,,Female,"1,377",$880,15
2016,"Management, professional, and related ",Professional and related,Community and social service ,Counselors,Female,473,$907,21
2016,"Management, professional, and related ",Professional and related,Community and social service ,Social workers,Female,557,$884,26
2016,"Management, professional, and related ",Professional and related,Community and social service ,Probation officers and correctional treatment specialists,Female,61,"$1,004",69
2016,"Management, professional, and related ",Professional and related,Community and social service ,Social and human service assistants,Female,122,$727,46
2016,"Management, professional, and related ",Professional and related,Community and social service ,"Miscellaneous community and social service specialists, including health educators and community health workers",Female,63,$767,26
2016,"Management, professional, and related ",Professional and related,Community and social service ,Clergy,Female,53,$893,75
2016,"Management, professional, and related ",Professional and related,Community and social service ,"Directors, religious activities and education",Female,26,–,–
2016,"Management, professional, and related ",Professional and related,Community and social service ,"Religious workers, all other",Female,21,–,–
2016,"Management, professional, and related ",Professional and related,Legal ,,Female,732,"$1,152",30
2016,"Management, professional, and related ",Professional and related,Legal ,Lawyers,Female,299,"$1,619",115
2016,"Management, professional, and related ",Professional and related,Legal ,Judicial law clerks,Female,7,–,–
2016,"Management, professional, and related ",Professional and related,Legal ,"Judges, magistrates, and other judicial workers",Female,21,–,–
2016,"Management, professional, and related ",Professional and related,Legal ,Paralegals and legal assistants,Female,308,$863,20
2016,"Management, professional, and related ",Professional and related,Legal ,Miscellaneous legal support workers,Female,98,$867,73
2016,"Management, professional, and related ",Professional and related,"Education, training, and library ",,Female,"4,982",$933,7
2016,"Management, professional, and related ",Professional and related,"Education, training, and library ",Postsecondary teachers,Female,445,"$1,152",20
2016,"Management, professional, and related ",Professional and related,"Education, training, and library ",Preschool and kindergarten teachers,Female,518,$621,14
2016,"Management, professional, and related ",Professional and related,"Education, training, and library ",Elementary and middle school teachers,Female,"2,231",$981,10
2016,"Management, professional, and related ",Professional and related,"Education, training, and library ",Secondary school teachers,Female,562,"$1,074",24
2016,"Management, professional, and related ",Professional and related,"Education, training, and library ",Special education teachers,Female,264,"$1,018",27
2016,"Management, professional, and related ",Professional and related,"Education, training, and library ",Other teachers and instructors,Female,214,$786,54
2016,"Management, professional, and related ",Professional and related,"Education, training, and library ","Archivists, curators, and museum technicians",Female,25,–,–
2016,"Management, professional, and related ",Professional and related,"Education, training, and library ",Librarians,Female,117,$980,41
2016,"Management, professional, and related ",Professional and related,"Education, training, and library ",Library technicians,Female,8,–,–
2016,"Management, professional, and related ",Professional and related,"Education, training, and library ",Teacher assistants,Female,532,$525,13
2016,"Management, professional, and related ",Professional and related,"Education, training, and library ","Other education, training, and library workers",Female,67,"$1,068",27
2016,"Management, professional, and related ",Professional and related,"Arts, design, entertainment, sports, and media",,Female,752,$951,22
2016,"Management, professional, and related ",Professional and related,"Arts, design, entertainment, sports, and media",Artists and related workers,Female,23,–,–
2016,"Management, professional, and related ",Professional and related,"Arts, design, entertainment, sports, and media",Designers,Female,297,$922,38
2016,"Management, professional, and related ",Professional and related,"Arts, design, entertainment, sports, and media",Actors,Female,5,–,–
2016,"Management, professional, and related ",Professional and related,"Arts, design, entertainment, sports, and media",Producers and directors,Female,50,"$1,030",81
2016,"Management, professional, and related ",Professional and related,"Arts, design, entertainment, sports, and media","Athletes, coaches, umpires, and related workers",Female,35,–,–
2016,"Management, professional, and related ",Professional and related,"Arts, design, entertainment, sports, and media",Dancers and choreographers,Female,4,–,–
2016,"Management, professional, and related ",Professional and related,"Arts, design, entertainment, sports, and media","Musicians, singers, and related workers",Female,13,–,–
2016,"Management, professional, and related ",Professional and related,"Arts, design, entertainment, sports, and media","Entertainers and performers, sports and related workers, all other",Female,4,–,–
2016,"Management, professional, and related ",Professional and related,"Arts, design, entertainment, sports, and media",Announcers,Female,8,–,–
2016,"Management, professional, and related ",Professional and related,"Arts, design, entertainment, sports, and media","News analysts, reporters and correspondents",Female,27,–,–
2016,"Management, professional, and related ",Professional and related,"Arts, design, entertainment, sports, and media",Public relations specialists,Female,67,"$1,134",265
2016,"Management, professional, and related ",Professional and related,"Arts, design, entertainment, sports, and media",Editors,Female,56,"$1,035",26
2016,"Management, professional, and related ",Professional and related,"Arts, design, entertainment, sports, and media",Technical writers,Female,27,–,–
2016,"Management, professional, and related ",Professional and related,"Arts, design, entertainment, sports, and media",Writers and authors,Female,60,$983,97
2016,"Management, professional, and related ",Professional and related,"Arts, design, entertainment, sports, and media",Miscellaneous media and communication workers,Female,36,–,–
2016,"Management, professional, and related ",Professional and related,"Arts, design, entertainment, sports, and media",Broadcast and sound engineering technicians and radio operators,Female,13,–,–
2016,"Management, professional, and related ",Professional and related,"Arts, design, entertainment, sports, and media",Photographers,Female,19,–,–
2016,"Management, professional, and related ",Professional and related,"Arts, design, entertainment, sports, and media","Television, video, and motion picture camera operators and editors",Female,7,–,–
2016,"Management, professional, and related ",Professional and related,"Arts, design, entertainment, sports, and media","Media and communication equipment workers, all other",Female,0,–,–
2016,"Management, professional, and related ",Professional and related,Healthcare practitioners and technical ,,Female,"5,150","$1,036",11
2016,"Management, professional, and related ",Professional and related,Healthcare practitioners and technical ,Chiropractors,Female,7,–,–
2016,"Management, professional, and related ",Professional and related,Healthcare practitioners and technical ,Dentists,Female,27,–,–
2016,"Management, professional, and related ",Professional and related,Healthcare practitioners and technical ,Dietitians and nutritionists,Female,71,$997,50
2016,"Management, professional, and related ",Professional and related,Healthcare practitioners and technical ,Optometrists,Female,15,–,–
2016,"Management, professional, and related ",Professional and related,Healthcare practitioners and technical ,Pharmacists,Female,133,"$1,839",68
2016,"Management, professional, and related ",Professional and related,Healthcare practitioners and technical ,Physicians and surgeons,Female,308,"$1,476",116
2016,"Management, professional, and related ",Professional and related,Healthcare practitioners and technical ,Physician assistants,Female,50,"$1,547",55
2016,"Management, professional, and related ",Professional and related,Healthcare practitioners and technical ,Podiatrists,Female,0,–,–
2016,"Management, professional, and related ",Professional and related,Healthcare practitioners and technical ,Audiologists,Female,8,–,–
2016,"Management, professional, and related ",Professional and related,Healthcare practitioners and technical ,Occupational therapists,Female,61,"$1,315",50
2016,"Management, professional, and related ",Professional and related,Healthcare practitioners and technical ,Physical therapists,Female,128,"$1,306",34
2016,"Management, professional, and related ",Professional and related,Healthcare practitioners and technical ,Radiation therapists,Female,10,–,–
2016,"Management, professional, and related ",Professional and related,Healthcare practitioners and technical ,Recreational therapists,Female,3,–,–
2016,"Management, professional, and related ",Professional and related,Healthcare practitioners and technical ,Respiratory therapists,Female,54,$993,37
2016,"Management, professional, and related ",Professional and related,Healthcare practitioners and technical ,Speech-language pathologists,Female,109,"$1,172",107
2016,"Management, professional, and related ",Professional and related,Healthcare practitioners and technical ,Exercise physiologists,Female,1,–,–
2016,"Management, professional, and related ",Professional and related,Healthcare practitioners and technical ,"Therapists, all other",Female,106,$913,53
2016,"Management, professional, and related ",Professional and related,Healthcare practitioners and technical ,Veterinarians,Female,46,–,–
2016,"Management, professional, and related ",Professional and related,Healthcare practitioners and technical ,Registered nurses,Female,"2,213","$1,143",10
2016,"Management, professional, and related ",Professional and related,Healthcare practitioners and technical ,Nurse anesthetists,Female,6,–,–
2016,"Management, professional, and related ",Professional and related,Healthcare practitioners and technical ,Nurse midwives,Female,5,–,–
2016,"Management, professional, and related ",Professional and related,Healthcare practitioners and technical ,Nurse practitioners,Female,133,"$1,753",45
2016,"Management, professional, and related ",Professional and related,Healthcare practitioners and technical ,"Health diagnosing and treating practitioners, all other",Female,8,–,–
2016,"Management, professional, and related ",Professional and related,Healthcare practitioners and technical ,Clinical laboratory technologists and technicians,Female,198,$834,25
2016,"Management, professional, and related ",Professional and related,Healthcare practitioners and technical ,Dental hygienists,Female,73,"$1,045",47
2016,"Management, professional, and related ",Professional and related,Healthcare practitioners and technical ,Diagnostic related technologists and technicians,Female,175,$936,42
2016,"Management, professional, and related ",Professional and related,Healthcare practitioners and technical ,Emergency medical technicians and paramedics,Female,60,$650,47
2016,"Management, professional, and related ",Professional and related,Healthcare practitioners and technical ,Health practitioner support technologists and technicians,Female,361,$643,16
2016,"Management, professional, and related ",Professional and related,Healthcare practitioners and technical ,Licensed practical and licensed vocational nurses,Female,481,$743,12
2016,"Management, professional, and related ",Professional and related,Healthcare practitioners and technical ,Medical records and health information technicians,Female,159,$793,28
2016,"Management, professional, and related ",Professional and related,Healthcare practitioners and technical ,"Opticians, dispensing",Female,28,–,–
2016,"Management, professional, and related ",Professional and related,Healthcare practitioners and technical ,Miscellaneous health technologists and technicians,Female,64,$714,20
2016,"Management, professional, and related ",Professional and related,Healthcare practitioners and technical ,Other healthcare practitioners and technical occupations,Female,47,–,–
2016,Service,,,,Female,"7,914",$487,2
2016,Service,Healthcare support ,,,Female,"2,094",$519,4
2016,Service,Healthcare support ,"Nursing, psychiatric, and home health aides",,Female,"1,192",$498,5
2016,Service,Healthcare support ,Occupational therapy assistants and aides,,Female,12,–,–
2016,Service,Healthcare support ,Physical therapist assistants and aides,,Female,32,–,–
2016,Service,Healthcare support ,Massage therapists,,Female,30,–,–
2016,Service,Healthcare support ,Dental assistants,,Female,180,$583,17
2016,Service,Healthcare support ,Medical assistants,,Female,452,$562,14
2016,Service,Healthcare support ,Medical transcriptionists,,Female,23,–,–
2016,Service,Healthcare support ,Pharmacy aides,,Female,19,–,–
2016,Service,Healthcare support ,Veterinary assistants and laboratory animal caretakers,,Female,17,–,–
2016,Service,Healthcare support ,Phlebotomists,,Female,71,$570,31
2016,Service,Healthcare support ,"Miscellaneous healthcare support occupations, including medical equipment preparers",,Female,65,$504,21
2016,Service,Protective service,,,Female,524,$688,18
2016,Service,Protective service,First-line supervisors of correctional officers,,Female,20,–,–
2016,Service,Protective service,First-line supervisors of police and detectives,,Female,23,–,–
2016,Service,Protective service,First-line supervisors of fire fighting and prevention workers,,Female,3,–,–
2016,Service,Protective service,"First-line supervisors of protective service workers, all other",,Female,23,–,–
2016,Service,Protective service,Firefighters,,Female,8,–,–
2016,Service,Protective service,Fire inspectors,,Female,1,–,–
2016,Service,Protective service,"Bailiffs, correctional officers, and jailers",,Female,91,$672,25
2016,Service,Protective service,Detectives and criminal investigators,,Female,28,–,–
2016,Service,Protective service,Fish and game wardens,,Female,1,–,–
2016,Service,Protective service,Parking enforcement workers,,Female,2,–,–
2016,Service,Protective service,Police and sheriff's patrol officers,,Female,100,$938,92
2016,Service,Protective service,Transit and railroad police,,Female,0,–,–
2016,Service,Protective service,Animal control workers,,Female,2,–,–
2016,Service,Protective service,Private detectives and investigators,,Female,29,–,–
2016,Service,Protective service,Security guards and gaming surveillance officers,,Female,152,$516,19
2016,Service,Protective service,Crossing guards,,Female,12,–,–
2016,Service,Protective service,Transportation security screeners,,Female,16,–,–
2016,Service,Protective service,"Lifeguards and other recreational, and all other protective service workers",,Female,14,–,–
2016,Service,Food preparation and serving related,,,Female,"2,202",$434,6
2016,Service,Food preparation and serving related,Chefs and head cooks,,Female,68,$519,29
2016,Service,Food preparation and serving related,First-line supervisors of food preparation and serving workers,,Female,251,$485,14
2016,Service,Food preparation and serving related,Cooks,,Female,515,$421,6
2016,Service,Food preparation and serving related,Food preparation workers,,Female,262,$413,7
2016,Service,Food preparation and serving related,Bartenders,,Female,122,$498,33
2016,Service,Food preparation and serving related,"Combined food preparation and serving workers, including fast food",,Female,125,$402,14
2016,Service,Food preparation and serving related,"Counter attendants, cafeteria, food concession, and coffee shop",,Female,49,–,–
2016,Service,Food preparation and serving related,Waiters and waitresses,,Female,607,$441,15
2016,Service,Food preparation and serving related,"Food servers, nonrestaurant",,Female,71,$445,48
2016,Service,Food preparation and serving related,Dining room and cafeteria attendants and bartender helpers,,Female,51,$407,12
2016,Service,Food preparation and serving related,Dishwashers,,Female,30,–,–
2016,Service,Food preparation and serving related,"Hosts and hostesses, restaurant, lounge, and coffee shop",,Female,50,$432,35
2016,Service,Food preparation and serving related,"Food preparation and serving related workers, all other",,Female,1,–,–
2016,Service,Building and grounds cleaning and maintenance ,,,Female,"1,210",$454,8
2016,Service,Building and grounds cleaning and maintenance ,First-line supervisors of housekeeping and janitorial workers,,Female,71,$524,33
2016,Service,Building and grounds cleaning and maintenance ,"First-line supervisors of landscaping, lawn service, and groundskeeping workers",,Female,1,–,–
2016,Service,Building and grounds cleaning and maintenance ,Janitors and building cleaners,,Female,441,$476,10
2016,Service,Building and grounds cleaning and maintenance ,Maids and housekeeping cleaners,,Female,661,$427,9
2016,Service,Building and grounds cleaning and maintenance ,Pest control workers,,Female,2,–,–
2016,Service,Building and grounds cleaning and maintenance ,Grounds maintenance workers,,Female,34,–,–
2016,Service,Personal care and service ,,,Female,"1,884",$482,5
2016,Service,Personal care and service ,First-line supervisors of gaming workers,,Female,59,$717,71
2016,Service,Personal care and service ,First-line supervisors of personal service workers,,Female,37,–,–
2016,Service,Personal care and service ,Animal trainers,,Female,11,–,–
2016,Service,Personal care and service ,Nonfarm animal caretakers,,Female,71,$489,22
2016,Service,Personal care and service ,Gaming services workers,,Female,31,–,–
2016,Service,Personal care and service ,Motion picture projectionists,,Female,0,–,–
2016,Service,Personal care and service ,"Ushers, lobby attendants, and ticket takers",,Female,8,–,–
2016,Service,Personal care and service ,Miscellaneous entertainment attendants and related workers,,Female,31,–,–
2016,Service,Personal care and service ,Embalmers and funeral attendants,,Female,2,–,–
2016,Service,Personal care and service ,"Morticians, undertakers, and funeral directors",,Female,5,–,–
2016,Service,Personal care and service ,Barbers,,Female,8,–,–
2016,Service,Personal care and service ,"Hairdressers, hairstylists, and cosmetologists",,Female,281,$500,15
2016,Service,Personal care and service ,Miscellaneous personal appearance workers,,Female,167,$466,45
2016,Service,Personal care and service ,"Baggage porters, bellhops, and concierges",,Female,10,–,–
2016,Service,Personal care and service ,Tour and travel guides,,Female,8,–,–
2016,Service,Personal care and service ,Childcare workers,,Female,381,$451,12
2016,Service,Personal care and service ,Personal care aides,,Female,636,$469,10
2016,Service,Personal care and service ,Recreation and fitness workers,,Female,100,$517,23
2016,Service,Personal care and service ,Residential advisors,,Female,11,–,–
2016,Service,Personal care and service ,"Personal care and service workers, all other",,Female,26,–,–
2016,Sales and office ,,,,Female,"14,163",$649,3
2016,Sales and office ,Sales and related ,,,Female,"4,250",$590,6
2016,Sales and office ,Sales and related ,First-line supervisors of retail sales workers,,Female,"1,047",$630,13
2016,Sales and office ,Sales and related ,First-line supervisors of non-retail sales workers,,Female,230,"$1,004",26
2016,Sales and office ,Sales and related ,Cashiers,,Female,965,$403,5
2016,Sales and office ,Sales and related ,Counter and rental clerks,,Female,36,–,–
2016,Sales and office ,Sales and related ,Parts salespersons,,Female,11,–,–
2016,Sales and office ,Sales and related ,Retail salespersons,,Female,728,$514,8
2016,Sales and office ,Sales and related ,Advertising sales agents,,Female,81,$999,122
2016,Sales and office ,Sales and related ,Insurance sales agents,,Female,205,$676,57
2016,Sales and office ,Sales and related ,"Securities, commodities, and financial services sales agents",,Female,63,$951,51
2016,Sales and office ,Sales and related ,Travel agents,,Female,38,–,–
