Year,Occupation Type,Occupation Sub-Type,Occupation Sub-Type2,Occupation,Gender,Number of workers,Median weekly earnings,Standarderrorofmedian
2019,"Natural resources, construction, and maintenance",Construction and extraction,Carpenters,,Women,20,–,–
2019,"Natural resources, construction, and maintenance",Construction and extraction,"Carpet, floor, and tile installers and finishers",,Women,4,–,–
2019,"Natural resources, construction, and maintenance",Construction and extraction,"Cement masons, concrete finishers, and terrazzo workers",,Women,0,–,–
2019,"Natural resources, construction, and maintenance",Construction and extraction,Construction laborers,,Women,49,–,–
2019,"Natural resources, construction, and maintenance",Construction and extraction,"Paving, surfacing, and tamping equipment operators",,Women,0,–,–
2019,"Natural resources, construction, and maintenance",Construction and extraction,Pile-driver operators,,Women,0,–,–
2019,"Natural resources, construction, and maintenance",Construction and extraction,Operating engineers and other construction equipment operators,,Women,5,–,–
2019,"Natural resources, construction, and maintenance",Construction and extraction,"Drywall installers, ceiling tile installers, and tapers",,Women,1,–,–
2019,"Natural resources, construction, and maintenance",Construction and extraction,Electricians,,Women,16,–,–
2019,"Natural resources, construction, and maintenance",Construction and extraction,Glaziers,,Women,0,–,–
2019,"Natural resources, construction, and maintenance",Construction and extraction,Insulation workers,,Women,1,–,–
2019,"Natural resources, construction, and maintenance",Construction and extraction,"Painters, construction and maintenance",,Women,20,–,–
2019,"Natural resources, construction, and maintenance",Construction and extraction,Paperhangers,,Women,0,–,–
2019,"Natural resources, construction, and maintenance",Construction and extraction,"Pipelayers, plumbers, pipefitters, and steamfitters",,Women,17,–,–
2019,"Natural resources, construction, and maintenance",Construction and extraction,Plasterers and stucco masons,,Women,1,–,–
2019,"Natural resources, construction, and maintenance",Construction and extraction,Reinforcing iron and rebar workers,,Women,0,–,–
2019,"Natural resources, construction, and maintenance",Construction and extraction,Roofers,,Women,2,–,–
2019,"Natural resources, construction, and maintenance",Construction and extraction,Sheet metal workers,,Women,2,–,–
2019,"Natural resources, construction, and maintenance",Construction and extraction,Structural iron and steel workers,,Women,1,–,–
2019,"Natural resources, construction, and maintenance",Construction and extraction,Solar photovoltaic installers,,Women,0,–,–
2019,"Natural resources, construction, and maintenance",Construction and extraction,"Helpers, construction trades",,Women,1,–,–
2019,"Natural resources, construction, and maintenance",Construction and extraction,Construction and building inspectors,,Women,14,–,–
2019,"Natural resources, construction, and maintenance",Construction and extraction,Elevator installers and repairers,,Women,2,–,–
2019,"Natural resources, construction, and maintenance",Construction and extraction,Fence erectors,,Women,0,–,–
2019,"Natural resources, construction, and maintenance",Construction and extraction,Hazardous materials removal workers,,Women,3,–,–
2019,"Natural resources, construction, and maintenance",Construction and extraction,Highway maintenance workers,,Women,4,–,–
2019,"Natural resources, construction, and maintenance",Construction and extraction,Rail-track laying and maintenance equipment operators,,Women,0,–,–
2019,"Natural resources, construction, and maintenance",Construction and extraction,Septic tank servicers and sewer pipe cleaners,,Women,0,–,–
2019,"Natural resources, construction, and maintenance",Construction and extraction,Miscellaneous construction and related workers,,Women,0,–,–
2019,"Natural resources, construction, and maintenance",Construction and extraction,"Derrick, rotary drill, and service unit operators, oil, gas, and mining",,Women,1,–,–
2019,"Natural resources, construction, and maintenance",Construction and extraction,"Earth drillers, except oil and gas",,Women,0,–,–
2019,"Natural resources, construction, and maintenance",Construction and extraction,"Explosives workers, ordnance handling experts, and blasters",,Women,0,–,–
2019,"Natural resources, construction, and maintenance",Construction and extraction,Mining machine operators,,Women,4,–,–
2019,"Natural resources, construction, and maintenance",Construction and extraction,"Roof bolters, mining",,Women,0,–,–
2019,"Natural resources, construction, and maintenance",Construction and extraction,"Roustabouts, oil and gas",,Women,0,–,–
2019,"Natural resources, construction, and maintenance",Construction and extraction,Helpers--extraction workers,,Women,0,–,–
2019,"Natural resources, construction, and maintenance",Construction and extraction,Other extraction workers,,Women,0,–,–
2019,"Natural resources, construction, and maintenance","Installation, maintenance, and repair",,,Women,142,$823,62
2019,"Natural resources, construction, and maintenance","Installation, maintenance, and repair","First-line supervisors of mechanics, installers, and repairers",,Women,15,–,–
2019,"Natural resources, construction, and maintenance","Installation, maintenance, and repair","Computer, automated teller, and office machine repairers",,Women,20,–,–
2019,"Natural resources, construction, and maintenance","Installation, maintenance, and repair",Radio and telecommunications equipment installers and repairers,,Women,18,–,–
2019,"Natural resources, construction, and maintenance","Installation, maintenance, and repair",Avionics technicians,,Women,1,–,–
2019,"Natural resources, construction, and maintenance","Installation, maintenance, and repair","Electric motor, power tool, and related repairers",,Women,2,–,–
2019,"Natural resources, construction, and maintenance","Installation, maintenance, and repair","Electrical and electronics installers and repairers, transportation equipment",,Women,0,–,–
2019,"Natural resources, construction, and maintenance","Installation, maintenance, and repair","Electrical and electronics repairers, industrial and utility",,Women,2,–,–
2019,"Natural resources, construction, and maintenance","Installation, maintenance, and repair","Electronic equipment installers and repairers, motor vehicles",,Women,0,–,–
2019,"Natural resources, construction, and maintenance","Installation, maintenance, and repair",Electronic home entertainment equipment installers and repairers,,Women,0,–,–
2019,"Natural resources, construction, and maintenance","Installation, maintenance, and repair",Security and fire alarm systems installers,,Women,0,–,–
2019,"Natural resources, construction, and maintenance","Installation, maintenance, and repair",Aircraft mechanics and service technicians,,Women,7,–,–
2019,"Natural resources, construction, and maintenance","Installation, maintenance, and repair",Automotive body and related repairers,,Women,0,–,–
2019,"Natural resources, construction, and maintenance","Installation, maintenance, and repair",Automotive glass installers and repairers,,Women,1,–,–
2019,"Natural resources, construction, and maintenance","Installation, maintenance, and repair",Automotive service technicians and mechanics,,Women,10,–,–
2019,"Natural resources, construction, and maintenance","Installation, maintenance, and repair",Bus and truck mechanics and diesel engine specialists,,Women,5,–,–
2019,"Natural resources, construction, and maintenance","Installation, maintenance, and repair",Heavy vehicle and mobile equipment service technicians and mechanics,,Women,3,–,–
2019,"Natural resources, construction, and maintenance","Installation, maintenance, and repair",Small engine mechanics,,Women,0,–,–
2019,"Natural resources, construction, and maintenance","Installation, maintenance, and repair","Miscellaneous vehicle and mobile equipment mechanics, installers, and repairers",,Women,3,–,–
2019,"Natural resources, construction, and maintenance","Installation, maintenance, and repair",Control and valve installers and repairers,,Women,2,–,–
2019,"Natural resources, construction, and maintenance","Installation, maintenance, and repair","Heating, air conditioning, and refrigeration mechanics and installers",,Women,3,–,–
2019,"Natural resources, construction, and maintenance","Installation, maintenance, and repair",Home appliance repairers,,Women,0,–,–
2019,"Natural resources, construction, and maintenance","Installation, maintenance, and repair",Industrial and refractory machinery mechanics,,Women,6,–,–
2019,"Natural resources, construction, and maintenance","Installation, maintenance, and repair","Maintenance and repair workers, general",,Women,16,–,–
2019,"Natural resources, construction, and maintenance","Installation, maintenance, and repair","Maintenance workers, machinery",,Women,0,–,–
2019,"Natural resources, construction, and maintenance","Installation, maintenance, and repair",Millwrights,,Women,1,–,–
2019,"Natural resources, construction, and maintenance","Installation, maintenance, and repair",Electrical power-line installers and repairers,,Women,5,–,–
2019,"Natural resources, construction, and maintenance","Installation, maintenance, and repair",Telecommunications line installers and repairers,,Women,9,–,–
2019,"Natural resources, construction, and maintenance","Installation, maintenance, and repair",Precision instrument and equipment repairers,,Women,6,–,–
2019,"Natural resources, construction, and maintenance","Installation, maintenance, and repair",Wind turbine service technicians,,Women,0,–,–
2019,"Natural resources, construction, and maintenance","Installation, maintenance, and repair","Coin, vending, and amusement machine servicers and repairers",,Women,2,–,–
2019,"Natural resources, construction, and maintenance","Installation, maintenance, and repair",Commercial divers,,Women,0,–,–
2019,"Natural resources, construction, and maintenance","Installation, maintenance, and repair",Locksmiths and safe repairers,,Women,0,–,–
2019,"Natural resources, construction, and maintenance","Installation, maintenance, and repair",Manufactured building and mobile home installers,,Women,0,–,–
2019,"Natural resources, construction, and maintenance","Installation, maintenance, and repair",Riggers,,Women,0,–,–
2019,"Natural resources, construction, and maintenance","Installation, maintenance, and repair",Signal and track switch repairers,,Women,0,–,–
2019,"Natural resources, construction, and maintenance","Installation, maintenance, and repair","Helpers--installation, maintenance, and repair workers",,Women,1,–,–
2019,"Natural resources, construction, and maintenance","Installation, maintenance, and repair","Other installation, maintenance, and repair workers",,Women,3,–,–
2019,"Production, transportation, and material moving",,,,Women,3279,$561,6
2019,"Production, transportation, and material moving",Production,,,Women,2041,$575,6
2019,"Production, transportation, and material moving",Production,First-line supervisors of production and operating workers,,Women,150,$745,37
2019,"Production, transportation, and material moving",Production,"Aircraft structure, surfaces, rigging, and systems assemblers",,Women,1,–,–
2019,"Production, transportation, and material moving",Production,"Electrical, electronics, and electromechanical assemblers",,Women,53,$518,20
2019,"Production, transportation, and material moving",Production,Engine and other machine assemblers,,Women,2,–,–
2019,"Production, transportation, and material moving",Production,Structural metal fabricators and fitters,,Women,0,–,–
2019,"Production, transportation, and material moving",Production,Miscellaneous assemblers and fabricators,,Women,348,$583,10
2019,"Production, transportation, and material moving",Production,Bakers,,Women,89,$533,23
2019,"Production, transportation, and material moving",Production,"Butchers and other meat, poultry, and fish processing workers",,Women,65,$557,56
2019,"Production, transportation, and material moving",Production,"Food and tobacco roasting, baking, and drying machine operators and tenders",,Women,0,–,–
2019,"Production, transportation, and material moving",Production,Food batchmakers,,Women,34,–,–
2019,"Production, transportation, and material moving",Production,Food cooking machine operators and tenders,,Women,5,–,–
2019,"Production, transportation, and material moving",Production,"Food processing workers, all other",,Women,52,$539,24
2019,"Production, transportation, and material moving",Production,Computer control programmers and operators,,Women,12,–,–
2019,"Production, transportation, and material moving",Production,"Extruding and drawing machine setters, operators, and tenders, metal and plastic",,Women,4,–,–
2019,"Production, transportation, and material moving",Production,"Forging machine setters, operators, and tenders, metal and plastic",,Women,0,–,–
2019,"Production, transportation, and material moving",Production,"Rolling machine setters, operators, and tenders, metal and plastic",,Women,3,–,–
2019,"Production, transportation, and material moving",Production,"Cutting, punching, and press machine setters, operators, and tenders, metal and plastic",,Women,5,–,–
2019,"Production, transportation, and material moving",Production,"Drilling and boring machine tool setters, operators, and tenders, metal and plastic",,Women,0,–,–
2019,"Production, transportation, and material moving",Production,"Grinding, lapping, polishing, and buffing machine tool setters, operators, and tenders, metal and plastic",,Women,2,–,–
2019,"Production, transportation, and material moving",Production,"Lathe and turning machine tool setters, operators, and tenders, metal and plastic",,Women,0,–,–
2019,"Production, transportation, and material moving",Production,"Milling and planing machine setters, operators, and tenders, metal and plastic",,Women,0,–,–
2019,"Production, transportation, and material moving",Production,Machinists,,Women,16,–,–
2019,"Production, transportation, and material moving",Production,"Metal furnace operators, tenders, pourers, and casters",,Women,1,–,–
2019,"Production, transportation, and material moving",Production,"Model makers and patternmakers, metal and plastic",,Women,0,–,–
2019,"Production, transportation, and material moving",Production,"Molders and molding machine setters, operators, and tenders, metal and plastic",,Women,3,–,–
2019,"Production, transportation, and material moving",Production,"Multiple machine tool setters, operators, and tenders, metal and plastic",,Women,0,–,–
2019,"Production, transportation, and material moving",Production,Tool and die makers,,Women,2,–,–
2019,"Production, transportation, and material moving",Production,"Welding, soldering, and brazing workers",,Women,32,–,–
2019,"Production, transportation, and material moving",Production,"Heat treating equipment setters, operators, and tenders, metal and plastic",,Women,2,–,–
2019,"Production, transportation, and material moving",Production,"Layout workers, metal and plastic",,Women,1,–,–
2019,"Production, transportation, and material moving",Production,"Plating and coating machine setters, operators, and tenders, metal and plastic",,Women,4,–,–
2019,"Production, transportation, and material moving",Production,"Tool grinders, filers, and sharpeners",,Women,0,–,–
2019,"Production, transportation, and material moving",Production,"Metal workers and plastic workers, all other",,Women,66,$611,14
2019,"Production, transportation, and material moving",Production,Prepress technicians and workers,,Women,3,–,–
2019,"Production, transportation, and material moving",Production,Printing press operators,,Women,26,–,–
2019,"Production, transportation, and material moving",Production,Print binding and finishing workers,,Women,6,–,–
2019,"Production, transportation, and material moving",Production,Laundry and dry-cleaning workers,,Women,76,$416,13
2019,"Production, transportation, and material moving",Production,"Pressers, textile, garment, and related materials",,Women,18,–,–
2019,"Production, transportation, and material moving",Production,Sewing machine operators,,Women,94,$497,11
2019,"Production, transportation, and material moving",Production,Shoe and leather workers and repairers,,Women,0,–,–
2019,"Production, transportation, and material moving",Production,Shoe machine operators and tenders,,Women,3,–,–
2019,"Production, transportation, and material moving",Production,"Tailors, dressmakers, and sewers",,Women,24,–,–
2019,"Production, transportation, and material moving",Production,Textile bleaching and dyeing machine operators and tenders,,Women,0,–,–
2019,"Production, transportation, and material moving",Production,"Textile cutting machine setters, operators, and tenders",,Women,0,–,–
2019,"Production, transportation, and material moving",Production,"Textile knitting and weaving machine setters, operators, and tenders",,Women,3,–,–
2019,"Production, transportation, and material moving",Production,"Textile winding, twisting, and drawing out machine setters, operators, and tenders",,Women,1,–,–
2019,"Production, transportation, and material moving",Production,"Extruding and forming machine setters, operators, and tenders, synthetic and glass fibers",,Women,0,–,–
2019,"Production, transportation, and material moving",Production,Fabric and apparel patternmakers,,Women,3,–,–
2019,"Production, transportation, and material moving",Production,Upholsterers,,Women,5,–,–
2019,"Production, transportation, and material moving",Production,"Textile, apparel, and furnishings workers, all other",,Women,7,–,–
2019,"Production, transportation, and material moving",Production,Cabinetmakers and bench carpenters,,Women,3,–,–
2019,"Production, transportation, and material moving",Production,Furniture finishers,,Women,2,–,–
2019,"Production, transportation, and material moving",Production,"Model makers and patternmakers, wood",,Women,0,–,–
2019,"Production, transportation, and material moving",Production,"Sawing machine setters, operators, and tenders, wood",,Women,4,–,–
2019,"Production, transportation, and material moving",Production,"Woodworking machine setters, operators, and tenders, except sawing",,Women,10,–,–
2019,"Production, transportation, and material moving",Production,"Woodworkers, all other",,Women,0,–,–
2019,"Production, transportation, and material moving",Production,"Power plant operators, distributors, and dispatchers",,Women,1,–,–
2019,"Production, transportation, and material moving",Production,Stationary engineers and boiler operators,,Women,2,–,–
2019,"Production, transportation, and material moving",Production,Water and wastewater treatment plant and system operators,,Women,5,–,–
2019,"Production, transportation, and material moving",Production,Miscellaneous plant and system operators,,Women,0,–,–
2019,"Production, transportation, and material moving",Production,"Chemical processing machine setters, operators, and tenders",,Women,8,–,–
2019,"Production, transportation, and material moving",Production,"Crushing, grinding, polishing, mixing, and blending workers",,Women,5,–,–
2019,"Production, transportation, and material moving",Production,Cutting workers,,Women,12,–,–
2019,"Production, transportation, and material moving",Production,"Extruding, forming, pressing, and compacting machine setters, operators, and tenders",,Women,3,–,–
2019,"Production, transportation, and material moving",Production,"Furnace, kiln, oven, drier, and kettle operators and tenders",,Women,4,–,–
2019,"Production, transportation, and material moving",Production,"Inspectors, testers, sorters, samplers, and weighers",,Women,267,$679,23
2019,"Production, transportation, and material moving",Production,Jewelers and precious stone and metal workers,,Women,7,–,–
2019,"Production, transportation, and material moving",Production,"Medical, dental, and ophthalmic laboratory technicians",,Women,41,–,–
2019,"Production, transportation, and material moving",Production,Packaging and filling machine operators and tenders,,Women,140,$496,14
2019,"Production, transportation, and material moving",Production,Painting workers,,Women,16,–,–
2019,"Production, transportation, and material moving",Production,Photographic process workers and processing machine operators,,Women,4,–,–
2019,"Production, transportation, and material moving",Production,Semiconductor processors,,Women,0,–,–
2019,"Production, transportation, and material moving",Production,Adhesive bonding machine operators and tenders,,Women,3,–,–
2019,"Production, transportation, and material moving",Production,"Cleaning, washing, and metal pickling equipment operators and tenders",,Women,0,–,–
2019,"Production, transportation, and material moving",Production,Cooling and freezing equipment operators and tenders,,Women,0,–,–
2019,"Production, transportation, and material moving",Production,Etchers and engravers,,Women,2,–,–
2019,"Production, transportation, and material moving",Production,"Molders, shapers, and casters, except metal and plastic",,Women,0,–,–
2019,"Production, transportation, and material moving",Production,"Paper goods machine setters, operators, and tenders",,Women,4,–,–
2019,"Production, transportation, and material moving",Production,Tire builders,,Women,0,–,–
2019,"Production, transportation, and material moving",Production,Helpers--production workers,,Women,10,–,–
2019,"Production, transportation, and material moving",Production,"Production workers, all other",,Women,263,$566,18
2019,"Production, transportation, and material moving",Transportation and material moving,,,Women,1237,$538,9
2019,"Production, transportation, and material moving",Transportation and material moving,Supervisors of transportation and material moving workers,,Women,45,–,–
2019,"Production, transportation, and material moving",Transportation and material moving,Aircraft pilots and flight engineers,,Women,7,–,–
2019,"Production, transportation, and material moving",Transportation and material moving,Air traffic controllers and airfield operations specialists,,Women,3,–,–
2019,"Production, transportation, and material moving",Transportation and material moving,Flight attendants,,Women,53,$822,60
2019,"Production, transportation, and material moving",Transportation and material moving,"Ambulance drivers and attendants, except emergency medical technicians",,Women,0,–,–
2019,"Production, transportation, and material moving",Transportation and material moving,Bus drivers,,Women,144,$599,14
2019,"Production, transportation, and material moving",Transportation and material moving,Driver/sales workers and truck drivers,,Women,155,$559,39
2019,"Production, transportation, and material moving",Transportation and material moving,Taxi drivers and chauffeurs,,Women,58,$450,32
2019,"Production, transportation, and material moving",Transportation and material moving,"Motor vehicle operators, all other",,Women,5,–,–
2019,"Production, transportation, and material moving",Transportation and material moving,Locomotive engineers and operators,,Women,5,–,–
2019,"Production, transportation, and material moving",Transportation and material moving,"Railroad brake, signal, and switch operators",,Women,0,–,–
2019,"Production, transportation, and material moving",Transportation and material moving,Railroad conductors and yardmasters,,Women,4,–,–
2019,"Production, transportation, and material moving",Transportation and material moving,"Subway, streetcar, and other rail transportation workers",,Women,0,–,–
2019,"Production, transportation, and material moving",Transportation and material moving,Sailors and marine oilers,,Women,1,–,–
2019,"Production, transportation, and material moving",Transportation and material moving,Ship and boat captains and operators,,Women,1,–,–
2019,"Production, transportation, and material moving",Transportation and material moving,Ship engineers,,Women,0,–,–
2019,"Production, transportation, and material moving",Transportation and material moving,Bridge and lock tenders,,Women,0,–,–
2019,"Production, transportation, and material moving",Transportation and material moving,Parking lot attendants,,Women,8,–,–
2019,"Production, transportation, and material moving",Transportation and material moving,Automotive and watercraft service attendants,,Women,14,–,–
2019,"Production, transportation, and material moving",Transportation and material moving,Transportation inspectors,,Women,3,–,–
2019,"Production, transportation, and material moving",Transportation and material moving,"Transportation attendants, except flight attendants",,Women,13,–,–
2019,"Production, transportation, and material moving",Transportation and material moving,Other transportation workers,,Women,0,–,–
2019,"Production, transportation, and material moving",Transportation and material moving,Conveyor operators and tenders,,Women,0,–,–
2019,"Production, transportation, and material moving",Transportation and material moving,Crane and tower operators,,Women,3,–,–
2019,"Production, transportation, and material moving",Transportation and material moving,"Dredge, excavating, and loading machine operators",,Women,0,–,–
2019,"Production, transportation, and material moving",Transportation and material moving,Hoist and winch operators,,Women,0,–,–
2019,"Production, transportation, and material moving",Transportation and material moving,Industrial truck and tractor operators,,Women,48,–,–
2019,"Production, transportation, and material moving",Transportation and material moving,Cleaners of vehicles and equipment,,Women,40,–,–
2019,"Production, transportation, and material moving",Transportation and material moving,"Laborers and freight, stock, and material movers, hand",,Women,318,$541,12
2019,"Production, transportation, and material moving",Transportation and material moving,Machine feeders and offbearers,,Women,10,–,–
2019,"Production, transportation, and material moving",Transportation and material moving,"Packers and packagers, hand",,Women,285,$484,6
2019,"Production, transportation, and material moving",Transportation and material moving,Pumping station operators,,Women,0,–,–
2019,"Production, transportation, and material moving",Transportation and material moving,Refuse and recyclable material collectors,,Women,8,–,–
2019,"Production, transportation, and material moving",Transportation and material moving,Mine shuttle car operators,,Women,0,–,–
2019,"Production, transportation, and material moving",Transportation and material moving,"Tank car, truck, and ship loaders",,Women,0,–,–
2019,"Production, transportation, and material moving",Transportation and material moving,"Material moving workers, all other",,Women,4,–,–
2019,"Management, professional, and related",,,,Men,23685,"$1,468",8
2019,"Management, professional, and related","Management, business, and financial operations",,,Men,10668,"$1,537",10
2019,"Management, professional, and related","Management, business, and financial operations",Management,,Men,7754,"$1,585",16
2019,"Management, professional, and related","Management, business, and financial operations",Management,,Men,790,"$2,488",90
2019,"Management, professional, and related","Management, business, and financial operations",Management,,Men,656,"$1,427",39
2019,"Management, professional, and related","Management, business, and financial operations",Management,,Men,10,–,–
2019,"Management, professional, and related","Management, business, and financial operations",Management,,Men,23,–,–
2019,"Management, professional, and related","Management, business, and financial operations",Management,,Men,517,"$1,852",75
2019,"Management, professional, and related","Management, business, and financial operations",Management,,Men,18,–,–
2019,"Management, professional, and related","Management, business, and financial operations",Management,,Men,101,"$1,266",123
2019,"Management, professional, and related","Management, business, and financial operations",Management,,Men,448,"$1,920",98
2019,"Management, professional, and related","Management, business, and financial operations",Management,,Men,495,"$1,784",69
2019,"Management, professional, and related","Management, business, and financial operations",Management,,Men,5,–,–
2019,"Management, professional, and related","Management, business, and financial operations",Management,,Men,73,"$1,761",79
2019,"Management, professional, and related","Management, business, and financial operations",Management,,Men,21,–,–
2019,"Management, professional, and related","Management, business, and financial operations",Management,,Men,188,"$1,573",95
2019,"Management, professional, and related","Management, business, and financial operations",Management,,Men,123,"$1,431",46
2019,"Management, professional, and related","Management, business, and financial operations",Management,,Men,226,"$1,138",30
2019,"Management, professional, and related","Management, business, and financial operations",Management,,Men,99,"$1,010",134
2019,"Management, professional, and related","Management, business, and financial operations",Management,,Men,572,"$1,467",38
2019,"Management, professional, and related","Management, business, and financial operations",Management,,Men,294,"$1,563",50
2019,"Management, professional, and related","Management, business, and financial operations",Management,,Men,131,"$2,285",43
2019,"Management, professional, and related","Management, business, and financial operations",Management,,Men,420,$922,39
2019,"Management, professional, and related","Management, business, and financial operations",Management,,Men,0,–,–
2019,"Management, professional, and related","Management, business, and financial operations",Management,,Men,15,–,–
2019,"Management, professional, and related","Management, business, and financial operations",Management,,Men,48,–,–
2019,"Management, professional, and related","Management, business, and financial operations",Management,,Men,149,"$1,729",140
2019,"Management, professional, and related","Management, business, and financial operations",Management,,Men,4,–,–
2019,"Management, professional, and related","Management, business, and financial operations",Management,,Men,8,–,–
2019,"Management, professional, and related","Management, business, and financial operations",Management,,Men,181,"$1,148",31
2019,"Management, professional, and related","Management, business, and financial operations",Management,,Men,112,"$1,336",43
2019,"Management, professional, and related","Management, business, and financial operations",Management,,Men,6,–,–
2019,"Management, professional, and related","Management, business, and financial operations",Management,,Men,2022,"$1,628",29
2019,"Management, professional, and related","Management, business, and financial operations",Business and financial,,Men,2914,"$1,383",22
2019,"Management, professional, and related","Management, business, and financial operations",Business and financial,,Men,13,–,–
2019,"Management, professional, and related","Management, business, and financial operations",Business and financial,,Men,7,–,–
2019,"Management, professional, and related","Management, business, and financial operations",Business and financial,,Men,82,$878,97
2019,"Management, professional, and related","Management, business, and financial operations",Business and financial,,Men,121,"$1,209",23
2019,"Management, professional, and related","Management, business, and financial operations",Business and financial,,Men,145,"$1,167",32
2019,"Management, professional, and related","Management, business, and financial operations",Business and financial,,Men,129,"$1,450",56
2019,"Management, professional, and related","Management, business, and financial operations",Business and financial,,Men,95,"$1,208",80
2019,"Management, professional, and related","Management, business, and financial operations",Business and financial,,Men,190,"$1,328",127
2019,"Management, professional, and related","Management, business, and financial operations",Business and financial,,Men,17,–,–
2019,"Management, professional, and related","Management, business, and financial operations",Business and financial,,Men,47,–,–
2019,"Management, professional, and related","Management, business, and financial operations",Business and financial,,Men,81,"$1,131",222
2019,"Management, professional, and related","Management, business, and financial operations",Business and financial,,Men,356,"$1,642",88
2019,"Management, professional, and related","Management, business, and financial operations",Business and financial,,Men,21,–,–
2019,"Management, professional, and related","Management, business, and financial operations",Business and financial,,Men,22,–,–
2019,"Management, professional, and related","Management, business, and financial operations",Business and financial,,Men,125,"$1,503",183
2019,"Management, professional, and related","Management, business, and financial operations",Business and financial,,Men,95,"$1,234",205
2019,"Management, professional, and related","Management, business, and financial operations",Business and financial,,Men,646,"$1,404",57
2019,"Management, professional, and related","Management, business, and financial operations",Business and financial,,Men,24,–,–
2019,"Management, professional, and related","Management, business, and financial operations",Business and financial,,Men,17,–,–
2019,"Management, professional, and related","Management, business, and financial operations",Business and financial,,Men,12,–,–
2019,"Management, professional, and related","Management, business, and financial operations",Business and financial,,Men,138,"$1,599",110
2019,"Management, professional, and related","Management, business, and financial operations",Business and financial,,Men,268,"$1,647",59
2019,"Management, professional, and related","Management, business, and financial operations",Business and financial,,Men,51,"$1,413",519
2019,"Management, professional, and related","Management, business, and financial operations",Business and financial,,Men,2,–,–
2019,"Management, professional, and related","Management, business, and financial operations",Business and financial,,Men,155,"$1,443",50
2019,"Management, professional, and related","Management, business, and financial operations",Business and financial,,Men,13,–,–
2019,"Management, professional, and related","Management, business, and financial operations",Business and financial,,Men,26,–,–
2019,"Management, professional, and related","Management, business, and financial operations",Business and financial,,Men,13,–,–
2019,"Management, professional, and related",Professional and related,,,Men,13017,"$1,425",9
2019,"Management, professional, and related",Professional and related,Computer and mathematical,,Men,3571,"$1,604",22
2019,"Management, professional, and related",Professional and related,Computer and mathematical,,Men,16,–,–
2019,"Management, professional, and related",Professional and related,Computer and mathematical,,Men,358,"$1,647",39
2019,"Management, professional, and related",Professional and related,Computer and mathematical,,Men,75,"$1,625",176
2019,"Management, professional, and related",Professional and related,Computer and mathematical,,Men,338,"$1,662",55
2019,"Management, professional, and related",Professional and related,Computer and mathematical,,Men,1283,"$1,894",11
2019,"Management, professional, and related",Professional and related,Computer and mathematical,,Men,115,"$1,418",105
2019,"Management, professional, and related",Professional and related,Computer and mathematical,,Men,376,"$1,114",56
2019,"Management, professional, and related",Professional and related,Computer and mathematical,,Men,67,"$1,573",229
2019,"Management, professional, and related",Professional and related,Computer and mathematical,,Men,155,"$1,478",60
2019,"Management, professional, and related",Professional and related,Computer and mathematical,,Men,102,"$1,771",50
2019,"Management, professional, and related",Professional and related,Computer and mathematical,,Men,548,"$1,238",89
2019,"Management, professional, and related",Professional and related,Computer and mathematical,,Men,24,–,–
2019,"Management, professional, and related",Professional and related,Computer and mathematical,,Men,2,–,–
2019,"Management, professional, and related",Professional and related,Computer and mathematical,,Men,66,"$1,566",297
2019,"Management, professional, and related",Professional and related,Computer and mathematical,,Men,41,–,–
2019,"Management, professional, and related",Professional and related,Computer and mathematical,,Men,3,–,–
2019,"Management, professional, and related",Professional and related,Architecture and engineering,,Men,2541,"$1,528",16
2019,"Management, professional, and related",Professional and related,Architecture and engineering,,Men,118,"$1,538",87
2019,"Management, professional, and related",Professional and related,Architecture and engineering,,Men,28,–,–
2019,"Management, professional, and related",Professional and related,Architecture and engineering,,Men,129,"$1,836",142
2019,"Management, professional, and related",Professional and related,Architecture and engineering,,Men,5,–,–
2019,"Management, professional, and related",Professional and related,Architecture and engineering,,Men,11,–,–
2019,"Management, professional, and related",Professional and related,Architecture and engineering,,Men,57,"$1,858",31
2019,"Management, professional, and related",Professional and related,Architecture and engineering,,Men,346,"$1,551",47
2019,"Management, professional, and related",Professional and related,Architecture and engineering,,Men,60,"$1,852",86
2019,"Management, professional, and related",Professional and related,Architecture and engineering,,Men,251,"$1,661",35
2019,"Management, professional, and related",Professional and related,Architecture and engineering,,Men,30,–,–
2019,"Management, professional, and related",Professional and related,Architecture and engineering,,Men,191,"$1,571",57
2019,"Management, professional, and related",Professional and related,Architecture and engineering,,Men,15,–,–
2019,"Management, professional, and related",Professional and related,Architecture and engineering,,Men,32,–,–
2019,"Management, professional, and related",Professional and related,Architecture and engineering,,Men,282,"$1,581",67
2019,"Management, professional, and related",Professional and related,Architecture and engineering,,Men,6,–,–
2019,"Management, professional, and related",Professional and related,Architecture and engineering,,Men,12,–,–
2019,"Management, professional, and related",Professional and related,Architecture and engineering,,Men,22,–,–
2019,"Management, professional, and related",Professional and related,Architecture and engineering,,Men,463,"$1,610",58
2019,"Management, professional, and related",Professional and related,Architecture and engineering,,Men,91,"$1,029",45
2019,"Management, professional, and related",Professional and related,Architecture and engineering,,Men,332,"$1,154",22
2019,"Management, professional, and related",Professional and related,Architecture and engineering,,Men,60,$995,83
2019,"Management, professional, and related",Professional and related,"Life, physical, and social science",,Men,733,"$1,357",20
2019,"Management, professional, and related",Professional and related,"Life, physical, and social science",,Men,16,–,–
2019,"Management, professional, and related",Professional and related,"Life, physical, and social science",,Men,55,"$1,164",203
